"fileid","title","description","filename","filetype","publisheddate","publishedby","projecturl","projectapiurl"
"143213","Flight 1 Dataset","<p>This data was recorded during Flight 1 of the Blue Origin Deorbit, Descent, and Landing Tipping Point (BODDL-TP) Game Changing Development (GCD) Program. The flight included IMU, cameras for terrain relative navigation, and range and velocity lidar sensors. The flight was completed under NASA contract 80LARC19C0005 in October 2020. </p>","DDL-F1_Dataset-20201013","zip","Dec 2021","Kevin M Somervill","Blue Origin Demo of Deorbit, Descent, and Landing Sensors (https://techport.nasa.gov/view/116144)","https://techport.nasa.gov/api/projects/116144"
"143242","Flight 2 Dataset","<p>This data was recorded during Flight 2 of the Blue Origin Deorbit, Descent, and Landing Tipping Point (BODDL-TP) Game Changing Development (GCD) Program. The flight included IMU, cameras for terrain relative navigation, and range and velocity lidar sensors. The flight was completed under NASA contract 80LARC19C0005 in August 2021. </p>","DDL-F2_Dataset-20210826","zip","Dec 2021","Kevin M Somervill","Blue Origin Demo of Deorbit, Descent, and Landing Sensors (https://techport.nasa.gov/view/116144)","https://techport.nasa.gov/api/projects/116144"
